checkpoint,step,context_length,perplexity
checkpoint-2000,2000,2048,4.665357399765078
checkpoint-34000,34000,2048,1.8925720743945829
checkpoint-66000,66000,2048,1.7873222358397602
checkpoint-98000,98000,2048,1.8348229052196356
checkpoint-130000,130000,2048,2.1930874108331855
checkpoint-158760,158760,2048,2.504636774279017
