Metric,Mean,Std,Formatted
bars_N,31.5875,19.23978851300909,31.5875 ± 19.2398
key_stability,0.5211369821767231,0.28548302270111137,0.5211 ± 0.2855
key_change_rate,0.4796543230518763,0.3057659386159093,0.4797 ± 0.3058
chord_diversity,0.42828736367315984,0.21679003642101577,0.4283 ± 0.2168
pitch_range,38.0,19.52213933078629,38.0000 ± 19.5221
stepwise_ratio,0.530773296721391,0.22819348221609978,0.5308 ± 0.2282
note_density_mean,31.795019579269372,18.302838967005783,31.7950 ± 18.3028
note_density_std,11.284312015593908,8.311124252311577,11.2843 ± 8.3111
duration_entropy,1.0288577869301663,0.5806575335465659,1.0289 ± 0.5807
