file,bars_N,avg_offdiag,rep_density,struct_entropy,block_coherence
temp_0.6_bars_16_001__barSSM_chroma_fs50.npy,29,0.0,0.0,nan,nan
temp_0.6_bars_16_002__barSSM_chroma_fs50.npy,16,0.6857439875602722,0.47619047619047616,4.4845051765441895,0.46059417724609375
temp_0.6_bars_16_003__barSSM_chroma_fs50.npy,20,0.9357209801673889,1.0,5.13960599899292,0.07801377773284912
temp_0.6_bars_16_004__barSSM_chroma_fs50.npy,19,0.9039627909660339,0.9215686274509803,5.024440765380859,0.17065930366516113
temp_0.6_bars_16_005__barSSM_chroma_fs50.npy,17,0.8669201135635376,0.875,4.652897834777832,0.2276066541671753
temp_0.6_bars_32_001__barSSM_chroma_fs50.npy,32,0.730212390422821,0.556989247311828,6.0463457107543945,0.3532997965812683
temp_0.6_bars_32_002__barSSM_chroma_fs50.npy,9,0.8300519585609436,0.7142857142857143,3.3034024238586426,0.2396649718284607
temp_0.6_bars_32_003__barSSM_chroma_fs50.npy,25,0.7111005187034607,0.6086956521739131,5.495802402496338,0.3156256079673767
temp_0.6_bars_32_004__barSSM_chroma_fs50.npy,31,0.5772163271903992,0.32413793103448274,5.914355754852295,0.402879923582077
temp_0.6_bars_32_005__barSSM_chroma_fs50.npy,35,0.0,0.0,nan,nan
temp_0.6_bars_48_001__barSSM_chroma_fs50.npy,48,0.834190845489502,0.7724329324699353,6.942537307739258,0.23605674505233765
temp_0.6_bars_48_002__barSSM_chroma_fs50.npy,49,0.8450952172279358,0.5664893617021277,7.00029993057251,0.33312249183654785
temp_0.6_bars_48_003__barSSM_chroma_fs50.npy,11,1.0,1.0,3.8066632747650146,nan
temp_0.6_bars_48_004__barSSM_chroma_fs50.npy,48,0.9997737407684326,1.0,6.985642433166504,0.00027614831924438477
temp_0.6_bars_48_005__barSSM_chroma_fs50.npy,50,0.48115643858909607,0.29336734693877553,6.745061874389648,0.6768044233322144
temp_0.6_bars_64_001__barSSM_chroma_fs50.npy,65,0.6619333028793335,0.48908730158730157,7.439441204071045,0.4306698739528656
temp_0.6_bars_64_002__barSSM_chroma_fs50.npy,63,0.4184893071651459,0.25806451612903225,7.07286262512207,0.68438720703125
temp_0.6_bars_64_003__barSSM_chroma_fs50.npy,71,0.9726513624191284,1.0,7.788982391357422,0.03487509489059448
temp_0.6_bars_64_004__barSSM_chroma_fs50.npy,66,0.6523770093917847,0.4206730769230769,7.572535514831543,0.4003174304962158
